node_id,node_kind,symbol,file,line,column
0,MODULE,,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/lib.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/lib.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/lib.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/lib.rs" }, scopes: RemapPathScopeComponents(0x0) }),1,1
1,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb0,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),9,5
2,CALL_SITE,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb0::call0,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),9,5
3,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb1,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),10,5
4,CALL_SITE,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb1::call1,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),10,5
5,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb2,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),11,5
6,CALL_SITE,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb2::call2,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),11,5
7,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb3,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),7,22
8,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb4,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),7,21
9,BASIC_BLOCK,<helpers::emit_plan::EmitEntry as std::clone::Clone>::clone::bb5,Real(RealFileName { local: Some(InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }), maybe_remapped: InnerRealFileName { name: "canon-projection/src/helpers/emit_plan.rs", working_directory: "/workspace/ai_sandbox/canon", embeddable_name: "/workspace/ai_sandbox/canon/canon-projection/src/helpers/emit_plan.rs" }, scopes: RemapPathScopeComponents(0x0) }),7,21
