src_id,dst_id,edge_kind
18174,18278,HAS_FIELD
18174,18279,HAS_FIELD
18174,18276,HAS_FIELD
18174,18277,HAS_FIELD
18284,18286,HAS_FIELD
18284,18285,HAS_FIELD
18353,18354,HAS_FIELD
18358,18360,HAS_FIELD
18358,18359,HAS_FIELD
12469,12471,HAS_FIELD
12469,12470,HAS_FIELD
18435,18436,HAS_FIELD
18440,18442,HAS_FIELD
18440,18441,HAS_FIELD
18458,18524,HAS_FIELD
18458,18497,HAS_FIELD
18528,18530,HAS_FIELD
18528,18529,HAS_FIELD
18895,18896,HAS_FIELD
18895,18897,HAS_FIELD
18925,18927,HAS_FIELD
18925,18926,HAS_FIELD
18621,18624,HAS_FIELD
18621,18622,HAS_FIELD
18621,18623,HAS_FIELD
18903,18905,HAS_FIELD
18903,18904,HAS_FIELD
18898,18899,HAS_FIELD
18626,18894,HAS_FIELD
18626,18784,HAS_FIELD
18626,18630,HAS_FIELD
18626,18724,HAS_FIELD
18626,18808,HAS_FIELD
18626,18627,HAS_FIELD
18626,18869,HAS_FIELD
18626,18723,HAS_FIELD
18626,18868,HAS_FIELD
18626,18628,HAS_FIELD
18626,18722,HAS_FIELD
18626,18629,HAS_FIELD
18626,18837,HAS_FIELD
18626,18893,HAS_FIELD
18626,18721,HAS_FIELD
18626,18631,HAS_FIELD
18626,18632,HAS_FIELD
18914,18916,HAS_FIELD
18914,18915,HAS_FIELD
19250,19251,HAS_PARAM
19250,19252,HAS_PARAM
19250,19253,HAS_PARAM
19250,19194,HAS_BLOCK
19194,19196,FLOW
19250,19196,HAS_BLOCK
19196,19211,FLOW
19196,19236,FLOW
19196,19236,UNWIND
19250,19211,HAS_BLOCK
19211,19226,FLOW
19211,19236,FLOW
19211,19236,UNWIND
19250,19226,HAS_BLOCK
19226,19238,FLOW
19226,19236,FLOW
19226,19236,UNWIND
19250,19238,HAS_BLOCK
19238,19240,FLOW
19238,19236,FLOW
19238,19236,UNWIND
19250,19240,HAS_BLOCK
19240,19242,FLOW
19240,19235,FLOW
19240,19235,UNWIND
19250,19242,HAS_BLOCK
19242,19244,FLOW
19242,19235,FLOW
19242,19235,UNWIND
19250,19244,HAS_BLOCK
19244,19246,FLOW
19244,19234,FLOW
19244,19234,UNWIND
