node_id,node_kind,symbol,file,line,column
0,MODULE,,canon/src/lib.rs,1,1
1,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__Field as csr_graph::_::_serde::Deserialize<'de>>::deserialize::bb0,canon/src/edge.rs,3,46
2,CALL_SITE,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__Field as csr_graph::_::_serde::Deserialize<'de>>::deserialize::bb0::call0,canon/src/edge.rs,3,46
3,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__Field as csr_graph::_::_serde::Deserialize<'de>>::deserialize::bb1,canon/src/edge.rs,3,57
4,METHOD,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__Field as csr_graph::_::_serde::Deserialize<'de>>::deserialize::fn,canon/src/edge.rs,3,46
5,PARAM,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__Field as csr_graph::_::_serde::Deserialize<'de>>::deserialize::param0,canon/src/edge.rs,3,46
6,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::bb0,canon/src/edge.rs,3,46
7,CALL_SITE,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::bb0::call0,canon/src/edge.rs,3,46
8,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::bb1,canon/src/edge.rs,3,57
9,METHOD,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::fn,canon/src/edge.rs,3,46
10,PARAM,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::param0,canon/src/edge.rs,3,46
11,PARAM,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::expecting::param1,canon/src/edge.rs,3,46
12,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb0,canon/src/edge.rs,3,46
13,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb1,canon/src/edge.rs,3,56
14,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb2,canon/src/edge.rs,3,46
15,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb3,canon/src/edge.rs,3,46
16,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb4,canon/src/edge.rs,3,46
17,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb5,canon/src/edge.rs,3,46
18,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb6,canon/src/edge.rs,3,46
19,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb7,canon/src/edge.rs,3,56
20,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::bb8,canon/src/edge.rs,3,57
21,METHOD,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::fn,canon/src/edge.rs,3,46
22,PARAM,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::param0,canon/src/edge.rs,3,46
23,PARAM,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_bytes::param1,canon/src/edge.rs,3,46
24,BASIC_BLOCK,<<edge::_::<impl csr_graph::_::_serde::Deserialize<'de> for edge::EdgeKind>::deserialize::__Visitor<'de> as csr_graph::_::_serde::de::Visitor<'de>>::visit_enum::__FieldVisitor as csr_graph::_::_serde::de::Visitor<'de>>::visit_str::bb0,canon/src/edge.rs,16,17
